ToniTop,100,NONE,False,1055,Zac,0,4,0,74,0,4007,3665,3191,224,249,12895,6260,5797,0,0,0,0,0,0,16,119,9,6,0,2,False,False,False,False,0,0,0,0,4.3,,,,,395.7,,,,,193.8,,,,
ºGøNº,100,NONE,False,1055,Skarner,0,5,1,5,68,4359,1953,676,1089,187,12410,3719,9951,56,0,0,0,0,2228,10,346,13,3,2,2,False,False,False,False,0,0,0,0,0.1,,,,,217.4,,,,,207,,,,
cutegirlflower22,100,NONE,False,1055,Lissandra,1,7,0,74,0,4675,4131,2546,1345,240,11004,561,3861,0,0,0,0,0,215,11,109,7,3,0,1,False,False,False,False,0,0,0,0,5,,,,,368.9,,,,,202.2,,,,
Míschief,100,NONE,False,1055,Ashe,0,3,0,90,0,4356,3147,339,2807,0,5737,199,1751,0,0,0,0,0,0,17,255,5,2,1,0,False,False,False,False,0,0,0,0,5.5,,,,,278.3,,,,,213.89999999999998,,,,
Kéria,100,NONE,False,1055,Leona,0,4,1,18,0,3418,1048,658,389,0,7516,133,6795,0,0,0,0,0,0,8,16,28,14,3,6,False,False,False,False,0,0,0,0,1,,,,,261,,,,,145.6,,,,
rgrou2,200,NONE,True,1055,Urgot,7,0,3,136,0,9017,9960,100,8256,1603,5556,1355,5621,0,0,1,4480,0,4480,18,218,9,3,3,0,False,False,False,False,1,1,0,0,7.7,,,,,505.2,,,,,331.5,,,,
ninjamønkey,200,NONE,True,1055,JarvanIV,4,1,12,15,100,7616,5474,782,3791,900,14780,6762,9503,68,4,0,546,0,20904,12,263,20,5,2,4,True,False,False,True,0,0,0,0,0.2,,,,,380.3,,,,,350.7,,,,
Earleking,200,NONE,True,1055,Galio,11,0,2,136,4,9552,14905,14169,446,289,8598,68,8861,0,4,1,3169,0,3683,25,64,14,6,1,4,False,False,False,False,2,0,0,0,7.199999999999999,,,,,464,,,,,390.5,,,,
SushiMunster,200,NONE,True,1055,Caitlyn,1,0,5,113,4,6710,6448,53,6395,0,3358,905,1836,0,4,3,4990,0,4990,9,13,10,7,0,3,False,False,False,False,0,0,0,0,7.699999999999999,,,,,312.9,,,,,302.9,,,,
Vexrax,200,NONE,True,1055,Rakan,0,0,14,17,0,5464,3365,2230,832,301,4642,1564,7539,0,0,1,2939,0,7149,15,48,18,11,1,3,False,False,False,True,0,0,0,0,1.1,,,,,304.4,,,,,214.3,,,,
rgrou2,100,TOP,True,1452,Mordekaiser,4,3,10,119,0,8640,11188,9920,1268,0,16200,6292,18094,0,0,1,1135,0,9219,6,68,12,9,1,4,False,False,False,False,1,0,0,0,6.6,4.9,,,,442.20000000000005,427.20000000000005,,,,250.10000000000002,352.1,,,
ninjamønkey,100,JUNGLE,True,1452,Zac,5,2,15,27,106,9347,10751,9005,1246,500,23492,23618,20605,78,0,2,941,0,19274,38,422,24,4,8,4,False,False,False,False,1,0,0,0,0.1,0.8,,,,273.9,474.79999999999995,,,,291.6,364,,,
Earleking,100,MIDDLE,True,1452,Garen,12,1,8,144,4,12724,17695,653,13724,3317,14727,3088,16035,0,0,3,11338,1,17045,35,75,24,10,2,4,False,False,False,False,1,0,0,0,7.199999999999999,5.3,,,,469.7,462.2,,,,277.4,636.4,,,
SushiMunster,100,BOTTOM,True,1452,Varus,7,3,16,113,8,9988,14374,2209,12165,0,8875,1832,3500,0,0,1,3264,0,14211,18,181,15,7,1,3,True,False,False,False,1,0,0,0,5.6,4.2,,,,295.8,380.1,,,,286.5,426.9,,,
Vexrax,100,BOTTOM,True,1452,Blitzcrank,4,2,17,25,0,7535,8346,4926,2903,516,11623,2221,13458,0,0,1,1928,0,3703,34,125,37,17,2,5,False,False,False,False,0,0,0,0,1.1,0.8,,,,251,338.6,,,,191.1,295.3,,,
ToniTop,200,TOP,False,1452,Vayne,3,5,0,151,8,8901,16234,235,10354,5644,15063,697,5694,8,0,1,4415,0,4415,17,138,21,11,1,3,False,False,True,False,0,0,0,0,6.1000000000000005,7.3999999999999995,,,,472.1,476.4,,,,255,481.1,,,
ºGøNº,200,JUNGLE,False,1452,Hecarim,2,9,6,7,100,7392,7003,868,5686,448,23085,8154,12063,79,4,0,0,0,2996,12,91,20,7,3,0,False,False,False,False,0,0,0,0,0,0.5,,,,263,318.8,,,,263.7,327.9,,,
cutegirlflower22,200,MIDDLE,False,1452,Qiyana,3,6,2,96,0,6843,14503,859,12841,802,17999,1225,8393,0,0,0,1555,0,1555,32,97,6,4,0,0,False,False,False,False,0,0,0,0,5.5,3.2,,,,409.7,285.5,,,,275,293.1,,,
Míschief,200,BOTTOM,False,1452,Lucian,2,5,2,163,0,7814,6736,735,5541,460,10528,1415,4004,0,0,1,2595,0,2992,0,5,6,4,2,1,False,False,False,False,0,0,0,0,6.199999999999999,8.2,,,,283.9,377.6,,,,262.5,387.2,,,
Kappa Krusader,200,BOTTOM,False,1452,Thresh,1,7,3,30,0,5205,5264,4333,653,277,13868,294,12937,0,0,0,545,0,545,35,99,35,14,6,2,False,False,False,False,0,0,0,0,1.4,1.4,,,,251.6,269.9,,,,187.9,219,,,
Luhmo,100,MIDDLE,False,2202,Ornn,7,3,16,247,8,15263,19219,13123,5968,128,22871,2300,45651,0,0,2,3910,1,13558,48,730,18,10,2,2,False,False,False,False,1,0,0,0,6.4,8.3,6.5,,,443,522.1,497,,,341.7,354.4,444.9,,
Àmànstèr,100,JUNGLE,False,2202,Zac,3,4,13,37,96,11192,10246,8560,696,990,35646,29102,25644,76,0,0,69,0,11996,25,396,30,16,3,4,False,False,False,False,0,0,0,0,0,0.4,1.3,,,236.6,345.8,392.9,,,212.5,286.4,285,,
itsGinga,100,TOP,False,2202,Galio,1,3,18,195,4,11525,15058,14628,429,0,23853,1672,30164,1,0,0,57,0,6258,37,123,12,6,2,3,False,False,False,False,0,0,0,0,6,4.3,6.1,,,420.5,322,454.79999999999995,,,237.79999999999998,259.8,333.70000000000005,,
Mörtý,100,BOTTOM,False,2202,Xayah,13,2,10,278,48,19199,31730,327,31158,244,17668,1989,10653,36,0,3,8374,0,30149,18,117,19,6,6,2,False,False,True,False,4,1,0,0,6.1,7.6,5.9,,,296.3,459.7,409.7,,,273.2,519.2,399.6,,
Rîçk,100,BOTTOM,False,2202,Rakan,4,5,19,41,0,10278,7863,6709,605,548,15531,8308,26434,0,0,1,3409,0,5881,32,143,114,52,14,7,False,False,False,True,1,0,0,0,1.5,1.3,0.7,,,305.4,247.8,353,,,216.8,257.1,247.79999999999998,,
Joey Desu,200,TOP,True,2202,Mordekaiser,4,6,1,202,10,13276,21570,18282,2929,357,32483,11017,27284,1,8,4,6945,1,12343,5,47,43,16,2,3,False,False,False,False,0,0,0,0,6.300000000000001,7.5,4.9,,,379.6,492.1,560.7,,,230.39999999999998,341.29999999999995,483.7,,
DynamiteLarry22,200,JUNGLE,True,2202,Elise,3,5,7,26,211,12606,11504,8816,954,1733,26296,12098,15391,142,11,1,6,0,29878,16,224,37,9,7,8,False,False,False,False,0,0,0,0,0.4,0.5,1,,,248.1,436.1,615.3,,,256.5,313.6,455.09999999999997,,
Skìzz,200,MIDDLE,True,2202,Irelia,5,5,6,245,12,14812,14450,4233,9917,299,20595,4379,18227,4,1,2,5700,2,13220,24,134,49,18,5,8,True,False,False,False,0,0,0,0,7.8,8.2,6.9,,,429.6,438,592.6,,,360.70000000000005,345.2,562.1,,
epicfailguy456,200,BOTTOM,True,2202,Aphelios,3,6,7,235,16,13151,23928,1724,19934,2268,14166,1890,14232,16,0,3,8189,1,22843,21,182,14,3,6,3,False,False,False,False,1,0,0,0,8.3,6.4,6.6000000000000005,,,331.1,292,448.70000000000005,,,282.8,302,505,,
Zylandis,200,BOTTOM,True,2202,Leona,2,6,4,35,0,8575,4179,2107,1266,805,19354,2011,39441,0,0,0,1263,0,3074,36,143,55,25,6,5,False,False,False,False,0,0,0,0,1.3,1.6,0.5,,,243.3,268.9,451.9,,,151.10000000000002,235.7,320.4,,
Joey Desu,100,TOP,True,1909,875,3,6,5,184,0,11078,19622,325,15937,3359,32861,3518,34924,0,0,3,5915,2,5915,29,167,32,11,4,4,False,False,False,False,0,0,0,0,8,7.2,2.8,,,474.7,489.8,326.5,,,246.6,386.2,287,,
DynamiteLarry22,100,JUNGLE,True,1909,RekSai,6,3,6,39,143,11671,17013,0,10823,6189,32437,16403,28292,80,15,2,3584,0,34994,19,269,28,6,6,5,False,False,False,False,1,0,0,0,0.3,2.1,1.5,,,301,493,366.4,,,240.29999999999998,442.8,339.8,,
Skìzz,100,MIDDLE,True,1909,Syndra,7,6,8,193,19,13250,32319,29120,921,2277,16330,494,9533,15,4,1,6016,0,9265,46,300,47,14,3,5,False,False,False,False,2,0,0,0,7.6000000000000005,7.3,3.3,,,503.2,505.90000000000003,316.3,,,336.7,536.9000000000001,323.5,,
epicfailguy456,100,BOTTOM,True,1909,Kalista,4,3,5,207,30,12291,18194,1300,15119,1774,11001,2155,8752,16,6,3,3773,0,12523,18,330,31,4,6,5,False,False,True,False,0,0,0,0,9.1,7.8999999999999995,3,,,317.2,448.4,288.8,,,284.4,459.3,351.3,,
Zylandis,100,BOTTOM,True,1909,Taric,1,4,12,22,0,7974,6527,3498,856,2172,13905,7096,25964,0,0,1,2053,0,4012,30,130,50,26,4,6,False,False,False,True,0,0,0,0,1.2,0.7999999999999999,0.2,,,293.1,345.3,227.39999999999998,,,158,311.4,215.10000000000002,,
Luhmo,200,JUNGLE,False,1909,Malphite,4,4,12,154,0,10406,18429,13555,4873,0,23031,971,33689,0,0,0,0,0,4460,36,490,23,11,2,3,False,False,False,False,0,0,0,0,5.699999999999999,5.800000000000001,3.8000000000000003,,,428.6,437.6,611.9000000000001,,,218.2,332.2,406,,
Àmànstèr,200,JUNGLE,False,1909,Zac,2,4,15,22,86,9165,10983,9028,1082,873,36160,27803,28686,74,0,1,636,0,17393,35,306,36,10,10,5,True,False,False,False,0,0,0,0,0.1,0.8999999999999999,1.2,,,262.6,286.6,611.5,,,254.5,257.70000000000005,322.20000000000005,,
itsGinga,200,MIDDLE,False,1909,Orianna,8,8,12,184,4,13207,22573,21592,808,172,21157,971,9109,0,0,0,0,0,10859,27,309,21,11,4,2,False,False,False,False,2,0,0,0,5.199999999999999,6.4,6.3,,,394.2,434.1,720.9000000000001,,,213.20000000000002,357.1,596.5,,
Mörtý,200,BOTTOM,False,1909,Jhin,3,2,11,194,8,10752,20341,1581,18540,219,17124,4171,8012,8,0,0,3527,0,17462,27,149,24,8,4,3,False,False,False,False,0,0,0,0,7.7,5,5.5,,,303.5,290.20000000000005,695.7,,,253.1,261.6,437.9,,
Rîçk,200,BOTTOM,False,1909,Alistar,5,3,14,23,4,9340,6686,5000,960,725,20107,18243,27448,0,0,0,426,0,2730,42,96,45,25,6,3,False,False,False,False,1,0,0,0,1.2,0.5,0.5,,,228.39999999999998,276.7,678.2,,,153.7,174.6,508.3,,
Laolis66,100,TOP,False,1873,Ornn,4,5,4,162,8,9804,17435,10301,6944,190,26107,2208,31641,4,0,0,888,0,989,45,620,13,8,0,0,False,False,False,False,1,0,0,0,6.3,6.2,3.7,,,449.29999999999995,428.5,395.4,,,222.7,278.2,414.6,,
DokiFTW,100,JUNGLE,False,1873,Sejuani,0,4,9,36,118,8458,8014,3980,3394,640,34281,10010,26297,72,12,0,0,0,22293,20,374,40,22,3,12,False,False,False,False,0,0,0,0,0.1,1.2,1.9000000000000001,,,277.4,308.3,411.5,,,232.3,270.7,264.70000000000005,,
UnitedRedMan,100,MIDDLE,False,1873,Veigar,4,8,5,180,10,11114,11280,10629,651,0,19260,1568,9156,7,0,0,3600,0,9866,20,125,18,11,3,1,False,False,False,False,1,0,0,0,6.6,6.8,4.6,,,424.1,434.4,505.79999999999995,,,236.70000000000002,359.29999999999995,449.6,,
Twelve and Six,100,MIDDLE,False,1873,Ezreal,4,5,6,158,4,10155,18886,7024,11862,0,16958,3453,5662,4,0,1,2200,0,6916,0,37,17,7,4,2,False,False,False,False,0,0,0,0,7.3,5.800000000000001,2.5,,,329.5,313.6,390.9,,,281.3,369.5,295.79999999999995,,
The Wizard Howl,100,MIDDLE,False,1873,Braum,0,8,7,44,0,6715,5092,4530,224,336,19862,1730,22152,0,0,1,123,0,123,25,158,46,21,7,5,False,False,False,False,0,0,0,0,1.2,2.3,0.9,,,283.5,262.3,403.2,,,152.60000000000002,240.7,208.1,,
seagull of irony,200,TOP,True,1873,Poppy,2,3,7,159,0,9362,16562,5317,11155,89,22072,1179,30531,0,0,1,1973,0,5297,38,405,17,10,3,1,False,False,False,False,0,0,0,0,6.6,6.300000000000001,2.8,,,483.8,526.4,361.3,,,229.39999999999998,305.20000000000005,297.9,,
PupSnap,200,JUNGLE,True,1873,Amumu,2,1,14,35,132,10451,10661,8329,953,1379,19969,7634,21495,73,24,1,1134,0,22975,42,259,31,14,7,6,False,False,False,True,0,0,0,0,0.2,1.7000000000000002,1.6,,,282.9,377.4,482.70000000000005,,,229.6,337.9,350.2,,
Dank Rain,200,MIDDLE,True,1873,Neeko,11,3,10,134,24,13323,27068,23988,1247,1832,14939,330,13131,16,4,1,5588,1,17290,55,175,23,11,3,1,True,False,True,False,1,0,0,0,7.2,4.4,1.8,,,531.4,361,424.6,,,355.3,426.1,431,,
rdubstres,200,BOTTOM,True,1873,Xayah,11,2,9,173,28,13741,25915,397,25169,348,13119,899,10482,16,1,2,8666,0,27470,27,95,28,10,7,0,False,False,False,True,3,0,0,0,7.8,5.699999999999999,3.7,,,342.1,452.4,510.1,,,281.4,465.5,469.9,,
Smªlls,200,BOTTOM,True,1873,Rakan,4,3,22,26,4,10219,10444,8034,1384,1025,15066,13422,22388,0,0,3,3170,0,8799,33,115,64,31,4,8,False,False,False,True,0,0,0,0,0.2,1.4000000000000001,0.8,,,300.1,452.4,350,,,187.3,380.4,348.1,,
seagull of irony,100,TOP,True,2460,Ornn,4,6,15,211,4,14747,33044,21090,11932,21,52729,7677,83658,0,0,2,10084,0,10424,72,913,36,12,2,1,False,False,False,False,0,0,0,0,5,7.1,4.7,,,417.1,467.6,298.9,,,288.79999999999995,327.3,323.29999999999995,,
PupSnap,100,JUNGLE,True,2460,MonkeyKing,3,13,6,18,159,11223,10035,2663,6831,540,41354,8370,24755,101,12,1,465,0,22620,19,237,36,14,5,4,False,False,False,False,0,0,0,0,0.2,0.4,0.1,,,289.5,302.8,143.3,,,250.10000000000002,270.1,191.6,,
Dank Rain,100,MIDDLE,True,2460,Viktor,16,3,6,190,11,17242,46327,44638,1274,414,26148,5063,24974,9,2,1,332,1,4244,56,566,32,17,3,5,False,False,False,False,5,0,0,0,6.199999999999999,4.7,3.5999999999999996,,,412.1,354.6,320.4,,,228.9,309.1,420.4,,
rdubstres,100,MIDDLE,True,2460,Jinx,9,1,12,234,48,17029,42931,1714,39134,2082,19729,433,20127,39,2,4,8844,1,21079,39,234,25,14,2,1,False,False,False,False,2,0,0,0,4,5.7,4,,,282,391.9,384.5,,,177,317.9,392.29999999999995,,
Smªlls,100,MIDDLE,True,2460,Soraka,2,11,20,14,0,9926,9521,7382,663,1475,18108,37968,10092,0,0,0,0,0,589,54,239,81,35,5,8,False,False,False,False,0,0,0,0,0.1,0.1,0.30000000000000004,,,178.6,235.7,383.7,,,135.9,229.2,233.20000000000002,,
Laolis66,200,TOP,False,2460,Maokai,3,4,14,144,0,11081,23343,19499,3844,0,53798,22922,71652,0,0,1,974,0,6740,105,703,25,11,2,3,False,False,False,False,0,0,0,0,4.9,4.6,2,,,403.1,424.29999999999995,341,,,243.8,330.5,244.6,,
DokiFTW,200,JUNGLE,False,2460,Morgana,5,10,15,57,112,13002,19603,17422,840,1340,37502,14625,26452,81,4,0,1676,0,20940,57,258,53,28,2,12,False,False,False,True,0,0,0,0,0.3,1.5,1.3,,,246.5,431.5,338.1,,,216.29999999999998,453.5,273.4,,
UnitedRedMan,200,MIDDLE,False,2460,Ekko,10,8,8,137,32,12740,26513,22161,3411,940,41991,10716,32393,32,0,0,3449,0,5274,28,296,23,14,0,2,False,False,False,True,0,0,0,0,5.2,3.2,1.9,,,405.79999999999995,323.2,396.5,,,203.29999999999998,313.6,341.9,,
Twelve and Six,200,BOTTOM,False,2460,Varus,14,4,13,210,40,17324,47764,6142,40706,916,20727,3011,12571,24,0,4,5099,0,29846,55,510,36,5,16,2,False,False,True,False,0,0,0,0,6.7,6.1,3.5999999999999996,,,319.1,416.8,411.6,,,320.1,486.5,408.79999999999995,,
The Wizard Howl,200,BOTTOM,False,2460,Nautilus,2,8,15,38,0,9917,9466,5938,2906,622,29808,1368,71143,0,0,0,633,0,3211,78,477,76,35,3,11,True,False,False,True,0,0,0,0,1.6,1.3,0.4,,,274.7,343.6,293,,,242.60000000000002,297.6,198.6,,
